,design_pos_x,design_pos_y,rotation,category,design_size,chip,cd,cd_remove_ave,cd_remove_1st,rep_3s_nocorr,rep_3s_1st
55,-4888.0,-8045.0,90,iso_line,110,2,81.291,-9.947598300641402e-15,-5.684341886080802e-15,0.29713633234594433,0.18732244118016678
56,-4888.0,-7845.0,90,iso_space,110,3,115.226,-2.5579538487363607e-14,2.5579538487363607e-14,0.15569200364823604,0.13710867178551986
57,-4888.0,-7695.0,90,ls_line,110,3,99.03,-1.4210854715202005e-15,5.684341886080802e-15,0.16911534525288852,0.14012548488820134
58,-4888.0,-7695.0,90,ls_space,110,3,121.253,0.0,-9.947598300641402e-15,0.24333105021760168,0.1707097483502953
59,-4888.0,-7545.0,90,iso_line,110,3,81.483,9.947598300641402e-15,9.947598300641402e-15,0.3815887839022542,0.23008825711149816
60,-4588.0,-8845.0,90,iso_space,200,1,210.59700000000004,-3.410605131648481e-14,2.842170943040401e-14,0.4259225281668064,0.1427139542135792
61,-4588.0,-8695.0,90,ls_line,200,1,184.679,-2.842170943040401e-15,-1.9895196601282804e-14,0.31478564134978915,0.16135411837058136
62,-4588.0,-8695.0,90,ls_space,200,1,214.47600000000003,-2.842170943040401e-14,0.0,0.40004999687538956,0.16258890341948712
63,-4588.0,-8545.0,90,iso_line,200,1,173.952,3.410605131648481e-14,-2.842170943040401e-15,0.37491332331622385,0.18918004891925858
64,-4588.0,-8345.0,90,iso_space,200,2,210.462,8.526512829121202e-15,2.5579538487363607e-14,0.24322828782854566,0.14102224195946936
65,-4588.0,-8195.0,90,ls_line,200,2,184.751,2.2737367544323207e-14,8.526512829121202e-15,0.17518561584787198,0.11813192419979959
66,-4588.0,-8195.0,90,ls_space,200,2,214.554,-2.842170943040401e-15,0.0,0.2565930630395068,0.07811413560822018
67,-4588.0,-8045.0,90,iso_line,200,2,173.38299999999998,-8.526512829121202e-15,3.126388037344441e-14,0.3310740098527694,0.16151554949067054
68,-4588.0,-7845.0,90,iso_space,200,3,210.14899999999997,-3.694822225952521e-14,5.684341886080802e-15,0.2479717725871253,0.22508988103745872
69,-4588.0,-7695.0,90,ls_line,200,3,184.807,3.694822225952521e-14,8.526512829121202e-15,0.23153833375921465,0.21153980927732471
70,-4588.0,-7695.0,90,ls_space,200,3,214.21599999999998,1.7053025658242404e-14,-2.5579538487363607e-14,0.2164255068146944,0.16425774277215127
71,-4588.0,-7545.0,90,iso_line,200,3,174.026,-1.1368683772161604e-14,-1.4210854715202004e-14,0.3219316697685942,0.19738287666360918
72,-4138.0,-8845.0,90,iso_space,400,1,513.86,-1.2505552149377764e-13,0.0,0.5810335618533168,0.22388037931545685
73,-4138.0,-8695.0,90,ls_line,400,1,481.212,-9.663381206337362e-14,6.252776074688882e-14,0.12149074038790132,0.12131102025937188
74,-4138.0,-8695.0,90,ls_space,400,1,515.8729999999999,-4.5474735088646414e-14,6.821210263296962e-14,0.4507881986033021,0.09876817055688086
75,-4138.0,-8545.0,90,iso_line,400,1,476.829,1.0231815394945443e-13,4.5474735088646414e-14,0.2511772282672347,0.13480850616090723
76,-4138.0,-8345.0,90,iso_space,400,2,513.87,-1.1368683772161603e-13,0.0,0.3652396473550472,0.2167696724846745
77,-4138.0,-8195.0,90,ls_line,400,2,482.13199999999995,4.5474735088646414e-14,1.7053025658242404e-14,0.17765134392963083,0.12997435644518252
78,-4138.0,-8195.0,90,ls_space,400,2,515.871,-9.094947017729283e-14,0.0,0.3299848481370046,0.18449603756939478
79,-4138.0,-8045.0,90,iso_line,400,2,476.17600000000004,-4.5474735088646414e-14,-1.7053025658242404e-14,0.26840268254994537,0.1625441664920494
80,-4138.0,-7845.0,90,iso_space,400,3,513.73,-1.1368683772161604e-14,-1.1368683772161604e-14,0.335857112474858,0.15632134734687894
81,-4138.0,-7695.0,90,ls_line,400,3,482.628,2.2737367544323207e-14,-3.979039320256561e-14,0.20532900428338602,0.19075924855452142
82,-4138.0,-7695.0,90,ls_space,400,3,516.6899999999999,5.684341886080802e-14,-5.684341886080802e-14,0.24083189157584403,0.11739082613474558
83,-4138.0,-7545.0,90,iso_line,400,3,477.18999999999994,-5.1159076974727215e-14,-1.7053025658242404e-14,0.22045407685049698,0.17133698852370607
84,-3988.0,-8845.0,90,iso_space,750,1,764.691,-2.2737367544323207e-14,-7.958078640513122e-14,0.7769749030696148,0.1182601139246402
85,-3988.0,-8694.625,90,ls_line,750,1,730.2929999999999,-3.410605131648481e-14,4.5474735088646414e-14,0.08491171886138743,0.07293002042221725
86,-3988.0,-8694.625,90,ls_space,750,1,766.859,-3.410605131648481e-14,1.2505552149377764e-13,0.7447751338492181,0.16580017180246204
87,-3988.0,-8545.0,90,iso_line,750,1,727.204,5.684341886080802e-14,6.821210263296962e-14,0.24867649667789793,0.24173363753343377
88,-3988.0,-8345.0,90,iso_space,750,2,764.789,1.1368683772161604e-14,-4.5474735088646414e-14,0.4290571057563609,0.2533747972446856
89,-3988.0,-8194.625,90,ls_line,750,2,731.0980000000001,5.684341886080802e-14,2.2737367544323207e-14,0.14546477236777572,0.12537459024381864
90,-3988.0,-8194.625,90,ls_space,750,2,765.5139999999999,9.094947017729283e-14,3.410605131648481e-14,0.3630977829731067,0.2664969156681466
91,-3988.0,-8045.0,90,iso_line,750,2,726.9449999999999,6.821210263296962e-14,-5.684341886080802e-14,0.2635336790621295,0.17308607072434284
92,-3988.0,-7845.0,90,iso_space,750,3,764.2439999999999,-4.5474735088646414e-14,-1.1368683772161603e-13,0.36856478399322856,0.12476887723817356
93,-3988.0,-7694.625,90,ls_line,750,3,730.83,5.684341886080802e-14,5.684341886080802e-14,0.2271563338319495,0.15939658944677737
94,-3988.0,-7694.625,90,ls_space,750,3,766.353,3.410605131648481e-14,6.821210263296962e-14,0.4142583734820017,0.1980143857644551
95,-3988.0,-7545.0,90,iso_line,750,3,725.642,-6.821210263296962e-14,-9.094947017729283e-14,0.2827719929554151,0.13434916065865724
